Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Dan Casals,617-988-4040,CAN6/21/20086/30/200800002,07-013C,General Contract , ,Gas Line Replacement at Faneuil Development.,"Fraser Engineering Co., Inc.65 Court St.Newton, MA 02460","$557,187.00", 6/25/2008, 
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Dan Casals,617-988-4040,CAN6/21/20086/30/200800003,07-009C,General Contract , ,Roof Replacement and Penthouse Egress at Camden Street Development.,"Gibson Roofs, Inc.369 Winter St.Hanover, MA 02339","$491,300.00", 6/25/2008,"Electrical:  Ostrow Electric Co.:  $33,500."
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Deborah Morse,617-988-4041,CAN6/21/20086/30/200800004,07D-WB-005,General Contract , ,Washington Beech HOPE VI Case Management and Relocation Services.,"Housing Opportunities Unlimited50 Redfield St. Suite 101Boston, MA 02122","$1,999,966.00", 6/25/2008, 
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Deborah Morse,617-988-4041,CAN6/21/20086/30/200800005,07D-WB-006,General Contract , ,Washington Beech HOPE VI Redevelopment Program Management Services.,"A.B.T. Associates55 Wheeler St.Cambridge, MA 02138","$229,500.00", 6/25/2008, 
"Bridgewater State CollegePurchasing OfficeBoyden Hall131 Summer St. Room 202Bridgewater, MA 02325",Notify email address listed when final publish date assigned.,Jean Zona,508-531-1221,CAN6/21/20086/30/200800006,FMP 08-115 (RFB No.:  50),General Contract , ,Burrill Ave. Roadway Improvements.,"Lawrence-Lynch Corp.396 Gifford St.Falmouth, MA 02541-0913","$257,810.00", 6/25/2008, 
"Bridgewater State CollegePurchasing OfficeBoyden Hall Room 202131 Summer StreetBridgewater, MA 02325",Notify email address listed when final publish date assigned.,Jean Zona,508-531-1221,CAN6/21/20086/30/200800007,FMP 08-104 (RFB No.:  45),General Contract ,None,Hart Hall Mechanical Equipment Replacement,"Integrity Mechanical Contractors, Inc.89 No. Water StreetNew Bedford, MA 02740","$118,455.00", 6/25/2008,None
"Brockton, City ofHousing Authority45 Goddard Rd.Brockton, MA 02301",Notify email address listed when final publish date assigned.,Frank L. Hinds / Nancy Macedo,508-588-6880,CAN6/21/20086/30/200800008,689-2 Special Needs Housi,General Contract , ,"Ground up construction of a 5,833 square foot single story wood framed group residence with five dwelling units:  One four-bedroom unit and four single bedroom units.  Building is to be construction with wood frame on concrete foundation and asphalt roof over pre-fabricated wood roof trusses.  The building will include plumbing, fire protection, gas fired HVAC and complete electrical and alarm systems.","Elizabeth Contracting5 Wight Lane Westwood, MA 02090","$1,404,300", 6/25/2008,"Waterproofing:  Folan WaterproofingTile, Resilient Flooring:  Northeast InteriorsPainting:  Buote PaintingPlumbing:  C. Perry & SonsHVAC:  Superior SheetmetalElectrical:  M-V Electrical"
"Cambridge, City ofPurchasing Department795 Massachusetts Ave.Cambridge, MA  02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN6/21/20086/30/200800009,4245,General Contract , ,"Water-Based Fire Sprinkler System Inspection, Testing, Repair and Maintenance for Public Buildings, Libraries and Schools.","Simplex Grinnelll63 Nahatan St.Norwood, MA  02062","$35,339.00", 6/25/2008, 
"Cambridge, City of Purchasing Department795 Massachusetts Ave.Cambridge, MA  02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN6/21/20086/30/200800010,4230,General Contract , ,HVAC Upgrades for Cambridge Municipal Buildings.,"Automatic Temperature Control86 Finnell Drive Building 1Weymouth, MA 02188","$393,576.00", 6/25/2008, 
"Dennis Water District80 Old Bass River RoadS. Dennis, MA 02660",Notify email address listed when final publish date assigned.,"Kristen Berger, P.E.",978-371-4099,CAN6/21/20086/30/200800011,2008-01,General Contract ,Project will be funded through the DWSRF Program.,Water Treatment Facilities - Two 4 MGD Iron and Manganese Removal WTFs,"Kinsmen Corporation35 Londonderry Turnpike, Suite CHooksett, NH 03106","$5,933,000.00", 6/25/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,617-973-8216,CAN6/21/20086/30/200800012,604941,General Contract , ,Agawam (General Bid):  Asbestos Removal and Demolition of House at 157 South West St.,"Baystate Construction Services, Inc.161 East Grove St. Suite 2Middleboro, MA 02346","$42,885.00", 6/25/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,615-973-8216,CAN6/21/20086/30/200800013,604941,General Contract , ,AGAWAM: Asbestos Removal and Demolition of House at 157 South West St.,"Baystate Construction Services, Inc.161 East Grove St. Suite 2Middleboro, MA 02346","$42,885.00", 6/25/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,615-973-8216,CAN6/21/20086/30/200800014,603894,General Contract , ,Bourne:  Highway Reconstruction and Safety Improvements on Route 6 (Scenic Highway) and Edgehill Rd.,"E. T. & L. Corp.P.O. Box 295873 Great Rd. Stow, MA 01775		","$3,080,916.00", 6/25/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,615-973-8216,CAN6/21/20086/30/200800015,605002,General Contract , ,District 1 (General Bid):  Facility Maintenance at Various Locations.,"J.H. Maxymillian, Inc.1801 East St.Pittsfield, MA  01201","$77,518.00", 6/25/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,615-973-8216,CAN6/21/20086/30/200800016,604979,General Contract , ,District 3:  Tree Trimming and Sight Distance Clearing at Various Locations.,"Northern Tree Service, Inc.P.O. Box 5041290 Park St.Palmer, MA  01069","$782,292.50", 6/25/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,615-973-8216,CAN6/21/20086/30/200800017,604834,General Contract , ,District 5:  Highway Lighting Upgrades and Maintenance at Various Locations.,"Wilmington Wiring Corp.668 Main St. Suite 290Wilmington, MA  01887","$204,325.00", 6/25/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,615-973-8216,CAN6/21/20086/30/200800018,604078,General Contract , ,Mansfield:  Reconstruction of Bridge (M-03-019) at Route 106/Chauncy St. under MBTA Railroad.,"Aetna Bridge Co.		30 Lockbridge St.Pawtucket, RI  02860","$4,313,313.31", 6/25/2008, 
"Lincoln, Town ofPublic Schools6 Ballfield Rd.Lincoln, MA 01773",Notify email address listed when final publish date assigned.,Michael Haines,508-982-9155,CAN6/21/20086/30/200800019,Flooring Lincoln Campus,General Contract , ,Replace carpet in Computer Room.  Remove carpet and replace with tile in three classrooms in the Brooks building and two classrooms in the Smith Building.,"West Floor Covering, Inc.90 Corporate Park DrivePembroke, MA 02359","$ 20,197", 6/25/2008, 
"Lowell, City ofHousing AuthorityP.O. Box 60350 Moody St.Lowell, MA  01853-0060",Do not notify email address listed when final publish date assigned.,Brenda Chateauneuf,978-364-5304,CAN6/21/20086/30/200800020,MA 1-1,General Contract , ,Phase 2 Landscape and Site Additions/Improvements at North Common Village.,"Greener Landscaping, Inc.123 Bolt St.Lowell, MA  01852","$397,400.00", 6/25/2008, 
"Mansfield, Town ofHousing Authority22 Bicentennial CourtMansfield, MA 02048",Notify email address listed when final publish date assigned.,Michael Forbes,508-339-6890,CAN6/21/20086/30/200800021,167021,General Contract , ,Pavement Repair and Rehabilitation.,"Sunshine Paving Corp.89 Meadowbrook Rd.North Chelmsford, MA 01863","$134,000.00", 6/25/2008, 
"Newton, City of1000 Commonwealth Ave.Newton, MA 02459",Notify email address listed when final publish date assigned.,Re Cappoli,617-796-1220,CAN6/21/20086/30/200800022,08-59,General Contract , ,"Replacement of Water Mains and Appurtenant Work at Ellis St., Churchill St., Considine Rd., Briar Lane, and Gannon Court","C.N. Corp.106 Richmond Rd.Assonet, MA  02702","$336,834.34", 6/25/2008, 
"Newton, City Of 1000 Commonwealth AveNewton, MA 02459",Notify email address listed when final publish date assigned.,Re Cappoli,617-796-1220,CAN6/21/20086/30/200800023,08-56,General Contract , ,Annual - HVAC,"Fraser Engineering Co., Inc65 Court StreetNewton, Ma 02460","$639,059.00", 6/25/2008, 
"Newton, City of 1000 Commonwealth AveNewton, Ma 02459",Do not notify email address listed when final publish date assigned.,Re Cappoli,617-796-1220,CAN6/21/20086/30/200800024,08-50,General Contract , ,"Renovations & Accessibility Improvements to the Brigham House, Newton Highlands","Vareika Construction, Inc.219 Walnut StreetWest Bridgewater, MA 02379","$418,000.00", 6/25/2008, 
"Port Authority, MassachusettsCapital Programs DepartmentOne Harborside Drive Suite 209S East Boston, MA 02128",Notify email address listed when final publish date assigned.,Bob Pelland,617-568-5971,CAN6/21/20086/30/200800025,W184-C1,General Contract , ,Install Runway 29 EMAS at the Worcester Regional Airport.,"J.H. Lynch & Sons, Inc.18 McCracken Rd.Millbury, MA 01527","$860,958.00", 6/25/2008, 
"Port Authority, MassachusettsCapital Programs Department One Harborside Drive Suite 209S East Boston, MA 02128",Notify email address listed when final publish date assigned.,Bob Pelland,617-568-5971,CAN6/21/20086/30/200800026,W152-C1,General Contract , ,"Reconstruct a Portion of Runway 11-29 (Approximately 3000 Linear Feet) and Replace Runway Touchdown Zone Lighting, Centerline Lighting and Airfield Lighting Control Systems at the Worcester Regional Airport.","J.H. Lynch & Sons, Inc.18 McCracken Rd. Millbury, MA 01527","$2,877,363.95", 6/25/2008, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside Drive Suite 209SEast Boston, MA 02128",Notify email address listed when final publish date assigned.,James Donegan,617-568-5975,CAN6/21/20086/30/200800027,MP0901-C1,General Contract , ,"FY'09 - FY'11 Maritime Term Contractor, Boston.","Tascon Corp.400 Franklin St.Braintree, MA 02184","$197,227.50", 6/25/2008, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside Drive Suite 209SEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Ali Abbas Ali,617-568-5992,CAN6/21/20086/30/200800028,LP0902-C1,General Contract , ,"FY'09 - FY'11 Term Contract for the Maintenance, Repair and Service of the Distribution Controls Systems at the Central Heating Plant at Logan International Airport, East Boston.","T.A.C. Americas, Inc.300 Brickstone SquareAndover, MA 01810","$229,440.00", 6/25/2008, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside Drive Suite 209SEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Helen Mao,617-568-3664,CAN6/21/20086/30/200800029,L451-C11,General Contract , ,Noise Mitigation Program for East Boston and Revere.,"U.S. Window and Door Construction Co., Inc.86 Faunce Corner Rd. Suite 460North Dartmouth, MA 02747","$1,397,776.00", 6/25/2008, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside Drive Suite 209SEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Peter Austin,617-568-3969,CAN6/21/20086/30/200800030,H153-C1,General Contract , ,"Runway 5/23 Safety Area Improvements at L.G. Hanscom Field, Bedford.","Argus Construction Corp.11 Gray TerraceBedford, MA 01730","$2,340,030.00", 6/25/2008, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside Drive Suite 209SEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Peter Austin,617-568-3969,CAN6/21/20086/30/200800031,H153-C1,General Contract , ,"Runway 5/23 Safety Area Improvements at L.G. Hanscom Field, Beford.","Argus Construction Corp.11 Gray TerraceBedford, MA 01730","$2,340,030.00", 6/25/2008, 
"State Police Academy, Massachusetts 340 West Brookfield RdNew Braintree, MA 01531",Notify email address listed when final publish date assigned.,Gregory Dwelly,508-867-1167,CAN6/21/20086/30/200800032,MSPA08-T03,General Contract , ,"Repairs to Building ""G"" Gymnasium","Contractors Network, Inc.190 Taunton Ave.Seekonk, MA 02771","$232,500", 6/25/2008,"All American Sports Group, LLC333 Weymouth St.Rockland, MA 02370"
Suffolk County Sheriff's Department20 Bradston St.Boston MA 02118,Notify email address listed when final publish date assigned.,Kevin Broderick,617 635-1000 ext. 213,CAN6/21/20086/30/200800033, ,General Contract , ,Emergency replacement of control panels at the Suffolk County Jail.,"iSYS290 Pine St.Canton, MA 02021",$599.567.00, 6/25/2008, 
"University of Massachusetts - AmherstProcurement OfficeGoodell Building140 Hicks Way Room 407Amherst, MA. 01003",Notify email address listed when final publish date assigned.,John O. Martin Director of Procurement,413-545-0361,CAN6/21/20086/30/200800034,UMAPP08-132S,General Contract , ,Campus-wide Floor Covering.,"Capital Carpet & Flooring Specialists, Inc.12 Walnut Hill ParkWoburn	MA 01801","$300,000.00", 6/25/2008, 
"University of Massachusetts - AmherstProcurement OfficeGoodell Building140 Hicks Way Room 407 Amherst, MA. 01003",Notify email address listed when final publish date assigned.,John O. Martin Director of Procurement,413-545-0361,CAN6/21/20086/30/200800035,UMA08-37,General Contract , ,FAC Concert Hall Waterproofing and Repairs.,"Five Star Building Corp.17 East St.Easthampton, MA 01027","$188,467.00", 6/25/2008, 
"University of Massachusetts - AmherstProcurement OfficeGoodell Building140 Hicks Way Room 407 Amherst, MA. 01003",Notify email address listed when final publish date assigned.,John O. Martin Director of Procurement,413-545-0361,CAN6/21/20086/30/200800036,UMA09-06,General Contract , ,Marcus Room 2 AC.,"Adams Plumbing & Heating, Inc.65 Printworks DriveAdams, MA 01220","$213,208.00", 6/25/2008, 
"Watertown, Town of 149 Main St.Watertown, MA 02472",Notify email address listed when final publish date assigned.,Raeleen Parsons,617-972-6414,CAN6/21/20086/30/200800037, ,General Contract , ,New Police Facility Construction.,"P.J. Stella Construction Corp.50 Main St.Wakefield, MA  01880","$12,290,000.00", 6/25/2008, 
"Andover, Town of36 Bartlet St.Andover, MA  01810",Notify email address listed when final publish date assigned.,"Elaine M. Shola, Purchasing Agent",978-623-8216,CAN7/1/20087/10/200800000,Bid No. 027/03-08/301,General Contract , ,Sewer Construction for Dascomb Rd. and OsgoodSt.,"J. Cougler, Inc.16 Moreland St.Worcester, MA  01609","$126,866.40", 7/2/2008, 
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Dan Casals,617-988-4041,CAN7/1/20087/10/200800001,08-018A,Designer Services , ,Roof Replacement at Bellflower and Patricia White Development.,"L.P.B.A./Architects, Inc.28 Penniman Rd.Boston, MA 02134","$32,680.00", 7/2/2008, 
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Dan Casals,617-988-4041,CAN7/1/20087/10/200800002,07D-WB-007,General Contract , ,Washington Beech HOPE VI Homeownership Counseling and Loan-to-Purchaser Program.,"Neighborhood of Affordable Housing143 Border St.East Boston, MA 02128","$467,960.00", 7/2/2008, 
"Bridgewater State CollegePurchasing OfficeBoyden Hall Room 202Bridgewater, MA 02324",Notify email address listed when final publish date assigned.,Diane Chagnon,508-531-2213,CAN7/1/20087/10/200800003,FMP 08-124C (RFB No. 48),General Contract , ,"Horace Mann Auditorium-Theatrical Systems Rebid: Electrical contractor will furnish and install all items identified in the bid documents including but not limited to stage lighting, audio/visual equipment, rigging, drapery and controls.  Project is being completed in association with interior renovations to Horace Mann Auditorium in Boyden Hall, 131 Summer St., Bridgewater.","LeVangie Electric Co., Inc.978 Washington St.Weymouth, MA 02189","$395,000.00", 7/2/2008, 
"Cambridge, City ofPurchasing Department795 Massachusetts Ave.Cambridge, MA  02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN7/1/20087/10/200800004,4251,General Contract , ,First Street Parking Garage 2008 Repairs.,"P.J. Spillane Co.97 Tileston St.Everett, MA  02149","$183,640.00", 7/2/2008, 
"Cambridge, City ofPurchasing Department795 Massachusetts Ave.Cambridge, MA  02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN7/1/20087/10/200800005,4181,Designer Services , ,Request for Landscape and Environmental Restoration Design Services for Watershed and Fresh Pond Reservation.,"The BioEngineering Group, Inc.18 Commercial St.Salem, MA  01970", , 7/2/2008, 
"Cambridge, City of 795 Massachusetts Ave.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN7/1/20087/10/200800006,4249,General Contract , ,"Provide spare parts, labor and repair services as needed for the Cambridge Water Department Ozone Generator.","Fin-Tek Corp.6 Leo PlaceWayne, NJ 07470","$100,000.00", 7/2/2008, 
"Clinton, Town ofHousing Authority58 Fitch Rd.Clinton, MA 01510",Do not notify email address listed when final publish date assigned.,Maryellen Donnelly,978-365-4150,CAN7/1/20087/10/200800007, ,General Contract , ,Driveway repair project.,"Allied Paving Corp.38 Graniteville Rd.Chelmsford, MA 01824","$157,300", 7/2/2008, 
"Colrain, Town of 55 Main Rd.Colrain, MA 01340",Do not notify email address listed when final publish date assigned.,Fred Rees,413-624-6306,CAN7/1/20087/10/200800008,Call Road Slope Stabiliza,General Contract , ,Call Road Slope Stabilization Project.,"Taylor Davis LandscapingP.O. Box 507Amherst, MA 01006","$129,688", 7/2/2008, 
"Dracut, Town ofHousing Authority971 Mammoth Rd.Dracut, MA 01826",Notify email address listed when final publish date assigned.,Mary T. Karabatsos,978-957-3515,CAN7/1/20087/10/200800009,DHCD FISH #079012,General Contract , ,"Development Involved:  667-2, 705-3, EMG:  Siding.","Hannasmith Contracting, LLC51 Harvey Rd.Londonderry, NH 03053","$729,000.00", 7/2/2008,"Galway Bay Decor, Inc.43 Lyman St.Waltham, MA  02452$53,000"
"East Chelmsford Water District75 Canal St.Chelmsford, MA 01824",Notify email address listed when final publish date assigned.,Jonathan Himlan,781-251-0200,CAN7/1/20087/10/200800010, ,General Contract , ,Upgrades to the Canal Street Water Treatment Facility.,"Nuwater, Inc.96A Pond St.Seekonk, MA 02771-3915","$1,437,000", 7/2/2008,"LaFleur Electrical45 Plant Rd. Suite 101Hyannis, MA 02601"
"East Longmeadow, Town of Department of Public Works60 Center SquareEast Longmeadow, MA 01028",Notify email address listed when final publish date assigned.,Bruce Fenney,413-525-5400 ext.142,CAN7/1/20087/10/200800011, ,General Contract , ,Replacement of Boilers Room #2 at the High School.,"L.N. King Plumbing & Heating and AC, Inc.1120 Southhampton Rd.Westfield, MA 01085","$188,317.00", 7/2/2008, 
"Fitchburg State CollegeCapital Planning and Maintenance160 Pearl St.Fitchburg, MA  01420",Do not notify email address listed when final publish date assigned.,Nancy FitzGerald,978-665-3423,CAN7/1/20087/10/200800012,"Bid #F46-08, C604",General Contract , ,"Anthony Building Admissions Renovations.  Base Bid $805,634 plus Alt #1 $32,300.","Builders Systems, Inc.135 Southbridge St.Auburn, MA  01501","$837,934.00", 7/2/2008,"HVAC:  Worcester County Refrigeration, $203,204.00Electric:  Page Electric, $89,949.00"
"Granby, Town ofPublic Schools250 State St.Granby, MA 01033",Do not notify email address listed when final publish date assigned.,Christopher Martin,413-467-7193,CAN7/1/20087/10/200800013,08-5-2,General Contract , ,"Replacement Roofing at West Street School, 14 West St.","J.D. Rivet and Co., Inc.P.O. Box 51068Indian Orchard, MA 01151","$614,500", 7/2/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,617-973-7695,CAN7/1/20087/10/200800014,605123,General Contract , ,District 3:  Resurfacing and Related Work at Various Locations (Contract 3).,"J.H. Lynch & Sons, Inc.50 Lynch PlaceCumberland, RI 02864","$4,257,011.25", 7/2/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,617-973-7695,CAN7/1/20087/10/200800015,605015,General Contract , ,District 5:  Scheduled and Emergency Bridge Deck Repairs at Various Locations.,"S.P.S. New England, Inc.98 Elm St.Salisbury, MA 01952","$1,650,750.00", 7/2/2008, 
"Highway Department, Massachusetts 10 Park PlazaBoston, MA  02116-3973",Notify email address listed when final publish date assigned.,Cashier's Office,617-973-7695,CAN7/1/20087/10/200800016,605050,General Contract , ,Medford to Somerville:  Resurfacing and Related Work on a Section of Interstate 93.,"D. & R. General Contracting, Inc.138 Franklin St.Stoneham, MA 02180			","$12,171,664.68", 7/2/2008, 
"Holyoke, City of Gas and Electric Department99 Suffolk St.Holyoke, MA  01040",Do not notify email address listed when final publish date assigned.,Daniel Radowicz,413-536-9485,CAN7/1/20087/10/200800017,08-15,General Contract , ,Hadley Falls Head Works Grating Installation.,"Gardner Construction & Industrial Services, Inc.47 Olivine St.Chicopee, MA 01013","$34,760.00", 7/2/2008, 
"Ludlow, Town of Public Schools63 Chestnut St.Ludlow, MA 01056",Do not notify email address listed when final publish date assigned.,Camie Lamica,413-583-5663,CAN7/1/20087/10/200800018,08-05-3,General Contract , ,Replacement Flooring at Chapin Street School.,"Accu Tech Insulation and Contracting, Inc.100 State St.Ludlow, MA 01056","$63,328", 7/2/2008, 
"Lynn, City ofPurchasing Department3 City Hall Square Room 205Lynn, MA 01901",Notify email address listed when final publish date assigned.,Charles E. White,781-586-6893,CAN7/1/20087/10/200800019,02-975,General Contract , ,"Supply of Trees:  Work includes Planting, Removal and Restoration for the City of Lynn, The Lynn Department of Community Development and the Lynn Water and Sewer Commission.","Leo's Landscape, Inc.561 Walnut St.West Bridgewater, MA 02379",N/A Awarded on Unit Prices, 7/2/2008, 
"Melrose, City of Office of Planning and Community Development562 Main St.Melrose, MA 02176",Notify email address listed when final publish date assigned.,Denise Gaffey/Matt Hennigan,781-979-4190,CAN7/1/20087/10/200800020,2007-01,General Contract , ,"Installation of new heating, ventilation and air conditioning at Memorial Hall, 590 Main St.","Thomas E. Snowden, Inc.189 Central St.Saugus, MA 01906","$624,000.00", 7/2/2008,"M.E.F. Controls & Electrical Services69 Ash St.West Newbury, MA 01985"
"Newbury, Town of 25 High Rd.Newbury, MA  01915",Notify email address listed when final publish date assigned.,Charles E. Kostro,978-465-5316,CAN7/1/20087/10/200800021,08-01,Real Property ,Conservation Restriction In Perpetuity.,"The Town of Newbury has closed on the sale of land as of 6/26/08 under a proposal advertised in the Central Register 4/16/08.  The assessed value of this land is $260,000.  The sale price is $175,000.  However, the sale is contingent upon approval of a conservation restriction on the property to be placed in perpetuity.  The assessed value was based on the land without the conservation restriction.","Peter C. Dedon and Therese K. Schmalbach66 Redwood Rd.Newton, MA 02459","$175,000.00", 7/2/2008, 
"Northampton, City of Department of Public Works125 Locust St.Northampton, MA 01060",Do not notify email address listed when final publish date assigned.,"Daniel J. Murphy, Project Manager",413-584-4776,CAN7/1/20087/10/200800022,195111691,General Contract , ,"Phase 3A Closure at Northampton Sanitary Landfill, Glendale Rd.","Gagliarducci Construction Co.295 Pasco Rd.Springfield, MA 01151","$871,215.00", 7/2/2008, 
"Orange, Town of 6 Prospect St.Orange, MA 01364",Do not notify email address listed when final publish date assigned.,"Robert E. Mellstrom, P.E., Project Manager",413-584-4776,CAN7/1/20087/10/200800023,195111661,General Contract , ,Foundry Sewer Replacement Project.,"Jack Goncalves & Sons, Inc.172 Munsing St.Ludlow, MA 01056-1154","$181,810.00", 7/2/2008, 
"Reading, Town of Municipal Light Department230 Ash St.Reading, MA  01867",Notify email address listed when final publish date assigned.,"Craig Owen, Materials Manager",781-942-6440,CAN7/1/20087/10/200800024,IFB 2008-32,General Contract , ,Installation of Chain Link Fencing and Motor Driven Sliding Gate.,"Steelco Chain Link Fence Erecting Co., Inc.19 Brook Rd.Needham, MA  02494","$27,559.00", 7/2/2008, 
"Reading, Town of Municipal Light Department230 Ash St.Reading, MA 01867",Notify email address listed when final publish date assigned.,"Craig Owen, Materials Manager",781-942-6440,CAN7/1/20087/10/200800025,IFB 2008-29,General Contract , ,"Electrical, Engineering, Construction, Planning and Project Management for Upgrades to the RMLD GAW Substation #4.","P.L.M. Electric Power Engineering 35 Main St.Hopkinton, MA  01748","$292,784.00", 7/2/2008, 
"Shrewsbury, Town of Richard D. Carney Municipal Office Building100 Maple Ave.Shrewsbury, MA 01545",Do not notify email address listed when final publish date assigned.,"Jack Perreault, P.E., Town Engineer",508-841-8502,CAN7/1/20087/10/200800026, ,Designer Services , ,2008 Contract for proposed drain construction at Spring Street and Holman Street and water main construction at Hartford Turnpike/Route 20 from 500 feet east of Lake Street to bridge.,"J.A. Polito & Sons, Inc.587C Hartford Turnpike Shrewsbury, MA  01545","$318,178.91", 7/2/2008, 
"Springfield, City ofHousing AuthorityP.O. Box 160925 Saab CourtSpringfield, MA 01101",Notify email address listed when final publish date assigned.,Wallace Kisiel,413-737-6234,CAN7/1/20087/10/200800027,MA35-3,General Contract , ,Sullivan Community Room Addition.,"Evergreen Construction Corp.39 Sullivan St.Springfield, MA 01104","$338,700", 7/2/2008,"Elm Electric, $41,940Champlain Masonry, $48,968"
"University of Massachusetts - AmherstProcurement DepartmentGoodell Building140 Hicks Way Room 407Amherst, MA 01003",Notify email address listed when final publish date assigned.,John O. Martin,413-545-0361,CAN7/1/20087/10/200800028,UMAPP08-180,General Contract , ,Exterior Painting of Worcester Dining Commons.,"Garland Construction Corp.40 Old James St.Chicopee, MA 01020","$85,399.80", 7/2/2008, 
"University of Massachusetts - AmherstProcurement OfficeGoodell Building140 Hicks Way Room 407Amherst, MA 01003",Notify email address listed when final publish date assigned.,John O. Martin Director of Procurement,413-545-0361,CAN7/1/20087/10/200800029,UMA09-07,General Contract , ,Roads Infirmary Way and Thatcher Way.,"Jack Goncalves & Sons, Inc.172 Munsing St.Ludlow, MA 01056","$1,074,810.25", 7/2/2008, 
"University of Massachusetts Building Authority225 Franklin St.Boston, MA 02110",Notify email address listed when final publish date assigned.,Maryl Miller,617-868-7080,CAN7/1/20087/10/200800030,UMBA 06-A2,General Contract , ,"Lincoln Campus Center Hotel Renovations, at the University of Massachusetts, Amherst.","Eastern General Contractors52-60 Berkshire Ave.Springfield, MA 01109","$6,520,000 (includes Alternates #1 and #2", 7/2/2008, 
"Wayland, Town of Board of Selectmen41 Cochituate Rd.Wayland, MA 01778",Notify email address listed when final publish date assigned.,"Thornton Tomasetti, Inc.",617-338-0708,CAN7/1/20087/10/200800031,HH6235.01,General Contract , ,Building Envelope Remediation at Wayland Public Safety Building.,"Quality Contracting, Inc.534 Cambridge St.Worcester, MA 01610","$593,470.00", 7/2/2008,"Roofing and Flashing:  Judd Brothers RoofingPainting:  David F. EganPlumbing:  Robert W. Irvine & Sons, Inc."
"West Springfield, Town of J. Edward Christian Municipal Office Building26 Central St.West Springfield, MA  01089",Do not notify email address listed when final publish date assigned.,Sandra E. Wrona,413-263-3028,CAN7/1/20087/10/200800032, ,Designer Services , ,Study of the proposed expansion of the Tatham Elementary School.,"Mount Vernon Group Architects20 Cabot Rd.Woburn, MA  01801","$20,000.00", 7/2/2008, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN7/1/20087/10/200800033,RFQ 28-8,General Contract , ,Booster Pump Station Repair.,"First Electric Motor, Inc.77 East Worcester St.Worcester, MA 01604","$8,660.00", 7/2/2008, 
